ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,richFactor
MF,GO:0005216,monoatomic ion channel activity,58/1196,439/18737,0.132118451025057,2.06981891041513,5.92267051814228,1.06296613356565e-07,5.07016350663867e-05,4.44843170560145e-05,ABCC9/ANO5/ANO6/BSND/CACNA1A/CACNA1B/CACNA1E/CACNA1H/CACNA2D1/CACNG5/CALHM1/CHRNA10/CHRNA6/CLIC5/CNGA1/GABRA1/GABRA4/GABRB1/GABRD/GABRE/GLRA1/GRIK2/HVCN1/ITPR2/KCNA2/KCNA3/KCNC4/KCND2/KCND3/KCNH6/KCNIP3/KCNJ3/KCNK1/KCNMB4/KCNN1/KCNQ3/KCNQ4/KCNS3/LRRC52/MCOLN2/MCOLN3/OPRM1/P2RX5/PANX3/PKD1L1/PKD1L3/PKD2L1/RYR1/SHROOM2/SLC26A11/TMC3/TMC5/TMEM38A/TRPC1/TRPC6/TRPC7/TRPM5/TRPV3,58,1.32118451025057
MF,GO:0046873,metal ion transmembrane transporter activity,58/1196,444/18737,0.130630630630631,2.04651013890144,5.82732597184645,1.57295662046701e-07,5.07016350663867e-05,4.44843170560145e-05,ABCC9/ATP2B3/CACNA1A/CACNA1B/CACNA1E/CACNA1H/CACNA2D1/CACNG5/CALHM1/CHRNA10/CNGA1/GRIK2/ITPR2/KCNA2/KCNA3/KCNC4/KCND2/KCND3/KCNH6/KCNIP3/KCNJ3/KCNK1/KCNMB4/KCNN1/KCNQ3/KCNQ4/KCNS3/LRRC52/MCOLN2/MCOLN3/NIPAL4/OPRM1/PANX3/PKD1L1/PKD1L3/PKD2L1/RYR1/SHROOM2/SLC10A6/SLC12A1/SLC28A1/SLC30A3/SLC30A4/SLC38A1/SLC38A2/SLC38A4/SLC4A4/SLC4A8/SLC4A9/SLC6A12/SLC8A1/SLC9C2/TMEM38A/TRPC1/TRPC6/TRPC7/TRPM5/TRPV3,58,1.30630630630631
MF,GO:0001228,DNA-binding transcription activator activity, RNA polymerase II-specific,56/1196,480/18737,0.116666666666667,1.82774526198439,4.79710769906826,8.98943976523135e-06,0.000790253477543519,0.000693348177107796,ALX1/ALX4/ARX/ATF3/BARHL1/BCL11B/CREB3L1/DLX2/EGR1/EGR2/EGR3/EGR4/EPAS1/ESR1/FOSB/FOXC1/FOXD1/FOXD2/FOXJ3/HEYL/HNF1A/HOXB7/IRF4/ISL1/KLF15/LEF1/LHX3/MAFB/MEIS1/MESP1/MSX1/MYOG/NEUROG3/NFYC/NKX6-3/NR1I2/NR4A2/ONECUT1/OSR2/PAX5/PAX9/PGR/POU1F1/POU4F1/POU4F2/RAX/RFX4/RLF/SOX1/SOX3/ZBTB16/ZNF300/ZNF43/ZNF544/ZNF841/ZNF99,56,1.16666666666667
MF,GO:0001216,DNA-binding transcription activator activity,56/1196,487/18737,0.114989733059548,1.80147376951234,4.67949744011748,1.37498763674033e-05,0.000985353111445494,0.000864523602922841,ALX1/ALX4/ARX/ATF3/BARHL1/BCL11B/CREB3L1/DLX2/EGR1/EGR2/EGR3/EGR4/EPAS1/ESR1/FOSB/FOXC1/FOXD1/FOXD2/FOXJ3/HEYL/HNF1A/HOXB7/IRF4/ISL1/KLF15/LEF1/LHX3/MAFB/MEIS1/MESP1/MSX1/MYOG/NEUROG3/NFYC/NKX6-3/NR1I2/NR4A2/ONECUT1/OSR2/PAX5/PAX9/PGR/POU1F1/POU4F1/POU4F2/RAX/RFX4/RLF/SOX1/SOX3/ZBTB16/ZNF300/ZNF43/ZNF544/ZNF841/ZNF99,56,1.14989733059548
MF,GO:0022836,gated channel activity,46/1196,308/18737,0.149350649350649,2.33978521478521,6.19065366922113,6.16726606388867e-08,5.07016350663867e-05,4.44843170560145e-05,ABCC9/ANO5/ANO6/CACNA1A/CACNA1B/CACNA1E/CACNA1H/CACNA2D1/CACNG5/CALHM1/CHRNA10/CHRNA6/CNGA1/GABRA1/GABRA4/GABRB1/GABRD/GABRE/GLRA1/GRIK2/HVCN1/ITPR2/KCNA2/KCNA3/KCNC4/KCND2/KCND3/KCNH6/KCNJ3/KCNK1/KCNMB4/KCNN1/KCNQ3/KCNQ4/KCNS3/LRRC52/MCOLN2/MCOLN3/OPRM1/P2RX5/PKD2L1/RYR1/SHROOM2/TMC3/TMC5/TRPM5,46,1.49350649350649
MF,GO:0005261,monoatomic cation channel activity,46/1196,333/18737,0.138138138138138,2.16412566412566,5.5968378211502,6.23426874256831e-07,0.000150713446851589,0.000132232121223949,ABCC9/ANO6/CACNA1A/CACNA1B/CACNA1E/CACNA1H/CACNA2D1/CACNG5/CALHM1/CHRNA10/CHRNA6/CNGA1/GRIK2/HVCN1/ITPR2/KCNA2/KCNA3/KCNC4/KCND2/KCND3/KCNH6/KCNIP3/KCNJ3/KCNK1/KCNMB4/KCNN1/KCNQ3/KCNQ4/KCNS3/LRRC52/MCOLN2/MCOLN3/OPRM1/P2RX5/PANX3/PKD1L1/PKD1L3/PKD2L1/RYR1/SHROOM2/TMEM38A/TRPC1/TRPC6/TRPC7/TRPM5/TRPV3,46,1.38138138138138
MF,GO:0004857,enzyme inhibitor activity,37/1196,410/18737,0.0902439024390244,1.41379598662207,2.21212348774859,0.0212941390822383,0.18270550002277,0.16030112993888,A2M/A2ML1/ANXA2P2/ANXA4/C3/CAV1/COL7A1/CST7/GBP5/HEXIM2/INKA2/KNG1/MANSC4/NHERF4/PARVA/PDE6H/PKIA/PPP1R1C/PRKCH/PRNP/RGS2/SCGB1A1/SERPINB1/SERPINB10/SERPINC1/SERPING1/SPINT1/SPOCK1/SPOCK2/SPRED1/TESC/TFPI/THBS1/TIMP3/TIMP4/TRIB1/TRIB2,37,0.902439024390244
MF,GO:1901681,sulfur compound binding,35/1196,277/18737,0.126353790613718,1.97950750395422,4.28853202984105,8.73707665070569e-05,0.00367337092227496,0.00322292163865848,ADA2/ADAMTS1/ADAMTS15/ADAMTS3/BMP4/CCL23/CCN1/CCN2/CCN3/CHST15/COL13A1/COL5A1/CRISPLD2/CTSG/CXCL10/CXCL6/CXCL8/FGF10/FGF20/GLRA1/KNG1/LIPG/LRP1/MOCS1/MSTN/NAV2/NELL2/NRP1/OGDHL/PCOLCE2/PLA2G2D/RSPO2/SERPINC1/TGFBR3/THBS1,35,1.26353790613718
MF,GO:0005539,glycosaminoglycan binding,33/1196,246/18737,0.134146341463415,2.10158862876254,4.54133618450818,4.23920942645977e-05,0.00213638566138931,0.0018744101051323,ADA2/ADAMTS1/ADAMTS15/ADAMTS3/BMP4/CCL23/CCN1/CCN2/CCN3/COL13A1/COL5A1/CRISPLD2/CTSG/CXCL10/CXCL6/CXCL8/FGF10/KNG1/LIPG/MSTN/NAV2/NCAN/NELL2/NRP1/PCOLCE2/PLA2G2D/PRNP/RSPO2/SERPINC1/SPOCK2/TGFBR3/THBS1/VIT,33,1.34146341463415
MF,GO:0001664,G protein-coupled receptor binding,32/1196,299/18737,0.107023411371237,1.67667028333016,3.07987185919465,0.00291364955828415,0.0552450808404073,0.048470620102725,ADA2/ADORA1/ARRDC3/BDKRB2/C3/CCL13/CCL2/CCL20/CCL23/CCL24/CCL5/CXCL1/CXCL10/CXCL12/CXCL16/CXCL5/CXCL6/CXCL8/DEFB1/EDNRB/FPR1/MAGI2/MARCO/MRAP2/NES/NPFF/PRNP/REEP2/RTP3/WNT3A/WNT5B/ZBTB16,32,1.07023411371237
MF,GO:0030246,carbohydrate binding,30/1196,280/18737,0.107142857142857,1.67854156712852,2.98711382220735,0.00380286253728148,0.0634028978198481,0.0556280799464405,ADGRL3/CHODL/CLEC12A/CLEC12B/CLEC2L/CLEC5A/CNTN1/COL9A1/CRYBG2/FCER2/GALNT14/GALNT16/GALNT18/GALNTL6/GBE1/GPI/HK2/HK3/HLA-DRB1/KHK/MGAM/NCAN/P3H3/PKD1L3/PPP1R3A/SIGLEC1/SIGLEC12/SIGLEC7/SIGLEC9/SLC2A3,30,1.07142857142857
MF,GO:0008201,heparin binding,29/1196,176/18737,0.164772727272727,2.58139347065977,5.5039242013683,2.2901550812934e-06,0.000369096660601787,0.000323835964126752,ADA2/ADAMTS1/ADAMTS15/ADAMTS3/BMP4/CCL23/CCN1/CCN2/CCN3/COL13A1/COL5A1/CRISPLD2/CTSG/CXCL10/CXCL6/CXCL8/FGF10/KNG1/LIPG/MSTN/NAV2/NELL2/NRP1/PCOLCE2/PLA2G2D/RSPO2/SERPINC1/TGFBR3/THBS1,29,1.64772727272727
MF,GO:0042277,peptide binding,29/1196,249/18737,0.116465863453815,1.82459940094827,3.42038171979833,0.0012718924713316,0.0307480004944415,0.0269775087340335,APBA1/APBA2/APBB1/CACNA1A/CACNA1B/CD36/CD74/CLU/FPR2/GRPR/HLA-DQB1/HLA-DRB1/HLA-DRB5/ITGAM/ITGB2/LDLRAD3/LILRB2/LRP1/MAPK8IP2/MARCO/MCHR1/MICA/NGFR/NMUR1/OPRM1/PRNP/RAMP3/TRHDE/TUBB3,29,1.16465863453815
MF,GO:0015276,ligand-gated monoatomic ion channel activity,27/1196,184/18737,0.146739130434783,2.29887214628472,4.6232257172832,4.35326942786918e-05,0.00213638566138931,0.0018744101051323,ABCC9/ANO5/ANO6/CALHM1/CHRNA10/CHRNA6/CNGA1/GABRA1/GABRA4/GABRB1/GABRD/GABRE/GLRA1/GRIK2/ITPR2/KCNH6/KCNJ3/KCNK1/KCNMB4/KCNN1/MCOLN2/MCOLN3/P2RX5/PKD2L1/RYR1/SHROOM2/TRPM5,27,1.46739130434783
MF,GO:0022834,ligand-gated channel activity,27/1196,186/18737,0.145161290322581,2.27415309094832,4.5600675483433,5.27334437149209e-05,0.00242824952725374,0.00213048399169054,ABCC9/ANO5/ANO6/CALHM1/CHRNA10/CHRNA6/CNGA1/GABRA1/GABRA4/GABRB1/GABRD/GABRE/GLRA1/GRIK2/ITPR2/KCNH6/KCNJ3/KCNK1/KCNMB4/KCNN1/MCOLN2/MCOLN3/P2RX5/PKD2L1/RYR1/SHROOM2/TRPM5,27,1.45161290322581
MF,GO:0005244,voltage-gated monoatomic ion channel activity,26/1196,164/18737,0.158536585365854,2.48369565217391,4.98313408360695,1.52846914908815e-05,0.000985353111445494,0.000864523602922841,ABCC9/ANO6/CACNA1A/CACNA1B/CACNA1E/CACNA1H/CACNA2D1/CACNG5/CALHM1/HVCN1/KCNA2/KCNA3/KCNC4/KCND2/KCND3/KCNH6/KCNJ3/KCNK1/KCNMB4/KCNN1/KCNQ3/KCNQ4/KCNS3/LRRC52/OPRM1/RYR1,26,1.58536585365854
MF,GO:0022832,voltage-gated channel activity,26/1196,166/18737,0.156626506024096,2.45377160817182,4.91257774400055,1.90253105136321e-05,0.0010822044274519,0.000949498468977553,ABCC9/ANO6/CACNA1A/CACNA1B/CACNA1E/CACNA1H/CACNA2D1/CACNG5/CALHM1/HVCN1/KCNA2/KCNA3/KCNC4/KCND2/KCND3/KCNH6/KCNJ3/KCNK1/KCNMB4/KCNN1/KCNQ3/KCNQ4/KCNS3/LRRC52/OPRM1/RYR1,26,1.56626506024096
MF,GO:0005125,cytokine activity,26/1196,238/18737,0.109243697478992,1.71145414687614,2.88428467104592,0.00524005557265399,0.0809613063930164,0.0710333782754817,BMP4/CCL13/CCL2/CCL20/CCL23/CCL24/CCL5/CMTM2/CXCL1/CXCL10/CXCL12/CXCL16/CXCL5/CXCL6/CXCL8/GDF15/GPI/IL15/IL16/IL5/KITLG/MSTN/NODAL/TNFSF12/WNT3A/WNT5B,26,1.09243697478992
