ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,richFactor
BP,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,47/1175,168/18986,0.279761904761905,4.52047619047619,11.7719769333221,5.55850097242934e-19,2.92321566140059e-15,2.57972955657273e-15,AMIGO1/AMIGO2/CADM2/CDH22/CDHR1/CEACAM6/CELSR2/CELSR3/CNTN4/DSC3/DSG2/L1CAM/PCDH11X/PCDH9/PCDHB10/PCDHB11/PCDHB12/PCDHB13/PCDHB14/PCDHB15/PCDHB16/PCDHB5/PCDHB6/PCDHB7/PCDHB8/PCDHB9/PCDHGA1/PCDHGA10/PCDHGA11/PCDHGA12/PCDHGA2/PCDHGA3/PCDHGA4/PCDHGA5/PCDHGA6/PCDHGA7/PCDHGA8/PCDHGA9/PCDHGB1/PCDHGB2/PCDHGB3/PCDHGB4/PCDHGB5/PCDHGB6/PCDHGB7/PTK7/SDK2,47,2.79761904761905
BP,GO:0006935,chemotaxis,80/1175,472/18986,0.169491525423729,2.73869455463397,9.82481193226566,1.17277600712777e-16,2.64098707669996e-13,2.33066362850054e-13,ACKR3/ANO6/ARTN/BMP4/C3AR1/C5AR1/CCL13/CCL2/CCL20/CCL23/CCL24/CCL5/CCN1/CCN3/CCR4/CCR5/CD74/CMTM2/CTSG/CXCL1/CXCL10/CXCL12/CXCL16/CXCL5/CXCL6/CXCL8/DEFA4/DEFB1/DNM1L/EDNRB/EFNA5/EGR3/EPHA7/EPHB1/F3/FGF10/FLRT2/FLT1/FPR1/FPR2/HGF/HRAS/IL16/IL17RA/IL17RC/ITGA1/ITGB2/KIT/L1CAM/LEF1/LPAR1/LSP1/LTB4R2/MET/MSTN/NRG3/NRP1/PARVA/PDGFD/PIP5K1A/PLAUR/PLEC/PLEKHG5/POU4F2/PTK2/PTPRO/RIPOR2/RNASE3/S100A12/S100A8/S100A9/SEMA5B/SLAMF8/TBR1/THBS1/TNFRSF11A/TREM1/UNC5C/VEGFC/WNT3A,80,1.69491525423729
BP,GO:0042330,taxis,80/1175,474/18986,0.168776371308017,2.72713888140767,9.78069786595149,1.50655281043923e-16,2.64098707669996e-13,2.33066362850054e-13,ACKR3/ANO6/ARTN/BMP4/C3AR1/C5AR1/CCL13/CCL2/CCL20/CCL23/CCL24/CCL5/CCN1/CCN3/CCR4/CCR5/CD74/CMTM2/CTSG/CXCL1/CXCL10/CXCL12/CXCL16/CXCL5/CXCL6/CXCL8/DEFA4/DEFB1/DNM1L/EDNRB/EFNA5/EGR3/EPHA7/EPHB1/F3/FGF10/FLRT2/FLT1/FPR1/FPR2/HGF/HRAS/IL16/IL17RA/IL17RC/ITGA1/ITGB2/KIT/L1CAM/LEF1/LPAR1/LSP1/LTB4R2/MET/MSTN/NRG3/NRP1/PARVA/PDGFD/PIP5K1A/PLAUR/PLEC/PLEKHG5/POU4F2/PTK2/PTPRO/RIPOR2/RNASE3/S100A12/S100A8/S100A9/SEMA5B/SLAMF8/TBR1/THBS1/TNFRSF11A/TREM1/UNC5C/VEGFC/WNT3A,80,1.68776371308017
BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,55/1175,280/18986,0.196428571428571,3.17395136778115,9.4127919015593,1.4683297011039e-14,1.93048647452635e-11,1.70364885583345e-11,ADGRL3/AMIGO1/AMIGO2/CADM2/CD6/CDH22/CDHR1/CEACAM6/CELSR2/CELSR3/CNTN4/DSC3/DSG2/EFNA5/ITGAM/ITGB2/L1CAM/LRRC4C/NTNG1/NTNG2/PCDH11X/PCDH9/PCDHB10/PCDHB11/PCDHB12/PCDHB13/PCDHB14/PCDHB15/PCDHB16/PCDHB5/PCDHB6/PCDHB7/PCDHB8/PCDHB9/PCDHGA1/PCDHGA10/PCDHGA11/PCDHGA12/PCDHGA2/PCDHGA3/PCDHGA4/PCDHGA5/PCDHGA6/PCDHGA7/PCDHGA8/PCDHGA9/PCDHGB1/PCDHGB2/PCDHGB3/PCDHGB4/PCDHGB5/PCDHGB6/PCDHGB7/PTK7/SDK2,55,1.96428571428571
BP,GO:0060326,cell chemotaxis,57/1175,328/18986,0.173780487804878,2.80799688635184,8.48363817953704,1.10380546924355e-12,1.16098259255036e-09,1.0245638555568e-09,ACKR3/ANO6/C3AR1/C5AR1/CCL13/CCL2/CCL20/CCL23/CCL24/CCL5/CCN3/CCR4/CCR5/CD74/CTSG/CXCL1/CXCL10/CXCL12/CXCL16/CXCL5/CXCL6/CXCL8/DEFA4/DNM1L/EDNRB/EGR3/EPHB1/FLT1/FPR2/HGF/IL16/IL17RA/IL17RC/ITGA1/ITGB2/KIT/LEF1/LPAR1/MET/MSTN/NRP1/PARVA/PDGFD/PIP5K1A/PLEC/PLEKHG5/PTK2/PTPRO/RIPOR2/S100A12/S100A8/S100A9/SLAMF8/THBS1/TNFRSF11A/TREM1/VEGFC,57,1.73780487804878
BP,GO:0097529,myeloid leukocyte migration,45/1175,243/18986,0.185185185185185,2.99227738376675,8.02811289901102,3.02595121729823e-11,2.6522462419619e-08,2.34059981001191e-08,ANO6/C3AR1/C5AR1/CCL13/CCL2/CCL23/CCL24/CCL5/CCN3/CD200R1/CD74/CD9/CD99/CTSG/CXCL1/CXCL10/CXCL12/CXCL5/CXCL6/CXCL8/DNM1L/EDNRB/FLT1/FPR2/IL17RA/IL17RC/ITGA1/ITGB2/KIT/KITLG/MCOLN2/MSTN/PDGFD/PTGER4/PTK2/PTPRO/RIPOR2/S100A12/S100A8/S100A9/SLAMF8/THBS1/TNFRSF11A/TREM1/VEGFC,45,1.85185185185185
BP,GO:0050900,leukocyte migration,60/1175,404/18986,0.148514851485149,2.39974720876343,7.3042250717602,2.31303130008176e-10,1.63232925216535e-07,1.44052595005995e-07,ADORA1/ANO6/ARTN/C3AR1/C5AR1/CCL13/CCL2/CCL20/CCL23/CCL24/CCL5/CCN3/CCR5/CD200R1/CD74/CD9/CD99/CHST2/CHST4/CTSG/CXCL1/CXCL10/CXCL12/CXCL16/CXCL5/CXCL6/CXCL8/DEFA4/DNM1L/EDNRB/FLT1/FPR2/GDF15/IL16/IL17RA/IL17RC/ITGA1/ITGB2/ITGB7/KIT/KITLG/MADCAM1/MCOLN2/MSTN/NLRP12/PDGFD/PLEC/PTGER4/PTK2/PTPRO/RIPOR2/S100A12/S100A8/S100A9/SLAMF8/THBS1/TNFRSF11A/TNFRSF14/TREM1/VEGFC,60,1.48514851485149
BP,GO:0030595,leukocyte chemotaxis,43/1175,240/18986,0.179166666666667,2.89502836879433,7.5883457843885,2.48310211396136e-10,1.63232925216535e-07,1.44052595005995e-07,ANO6/C3AR1/C5AR1/CCL13/CCL2/CCL23/CCL24/CCL5/CCN3/CCR5/CD74/CTSG/CXCL1/CXCL10/CXCL12/CXCL16/CXCL5/CXCL6/CXCL8/DEFA4/DNM1L/EDNRB/FLT1/FPR2/IL16/IL17RA/IL17RC/ITGA1/ITGB2/KIT/MSTN/PLEC/PTK2/PTPRO/RIPOR2/S100A12/S100A8/S100A9/SLAMF8/THBS1/TNFRSF11A/TREM1/VEGFC,43,1.79166666666667
BP,GO:0006816,calcium ion transport,60/1175,445/18986,0.134831460674157,2.17864690413579,6.46215291468825,1.00756071601906e-08,5.88751311727136e-06,5.19571368061757e-06,ANO6/ATP2B3/CACNA1A/CACNA1B/CACNA1E/CACNA1H/CACNA2D1/CACNG5/CALCRL/CALHM1/CAMK2D/CASK/CAV1/CCL2/CCL5/CCR5/CHRNA10/CNGA1/CXCL10/CXCL12/DNM1L/EDNRB/EFHB/F2R/GEM/GP9/GPR35/GRM6/HES1/HRC/IL16/ITPR2/JPH2/LILRB2/MCHR1/MCOLN2/MCOLN3/MCUB/OPRM1/P2RX5/PANX3/PKD1L1/PKD1L3/PKD2L1/PLCB4/PLCH1/PRNP/PTGS2/RAMP3/RYR1/SEMG1/SLC8A1/TMEM38A/TRPC1/TRPC6/TRPC7/TRPM5/TRPV3/WNT3A/ZMPSTE24,60,1.34831460674157
BP,GO:0097530,granulocyte migration,30/1175,156/18986,0.192307692307692,3.10736497545008,6.78823672770575,2.39906031169625e-08,1.26166581792106e-05,1.11341651729145e-05,C3AR1/C5AR1/CCL13/CCL2/CCL23/CCL24/CCL5/CD74/CD99/CXCL1/CXCL10/CXCL5/CXCL6/CXCL8/DNM1L/IL17RA/IL17RC/ITGA1/ITGB2/MCOLN2/MSTN/PTGER4/PTK2/RIPOR2/S100A12/S100A8/S100A9/SLAMF8/THBS1/TREM1,30,1.92307692307692
