ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,richFactor
BP,GO:0006935,chemotaxis,80/1175,472/18986,0.169491525423729,2.73869455463397,9.82481193226566,1.17277600712777e-16,2.64098707669996e-13,2.33066362850054e-13,ACKR3/ANO6/ARTN/BMP4/C3AR1/C5AR1/CCL13/CCL2/CCL20/CCL23/CCL24/CCL5/CCN1/CCN3/CCR4/CCR5/CD74/CMTM2/CTSG/CXCL1/CXCL10/CXCL12/CXCL16/CXCL5/CXCL6/CXCL8/DEFA4/DEFB1/DNM1L/EDNRB/EFNA5/EGR3/EPHA7/EPHB1/F3/FGF10/FLRT2/FLT1/FPR1/FPR2/HGF/HRAS/IL16/IL17RA/IL17RC/ITGA1/ITGB2/KIT/L1CAM/LEF1/LPAR1/LSP1/LTB4R2/MET/MSTN/NRG3/NRP1/PARVA/PDGFD/PIP5K1A/PLAUR/PLEC/PLEKHG5/POU4F2/PTK2/PTPRO/RIPOR2/RNASE3/S100A12/S100A8/S100A9/SEMA5B/SLAMF8/TBR1/THBS1/TNFRSF11A/TREM1/UNC5C/VEGFC/WNT3A,80,1.69491525423729
BP,GO:0042330,taxis,80/1175,474/18986,0.168776371308017,2.72713888140767,9.78069786595149,1.50655281043923e-16,2.64098707669996e-13,2.33066362850054e-13,ACKR3/ANO6/ARTN/BMP4/C3AR1/C5AR1/CCL13/CCL2/CCL20/CCL23/CCL24/CCL5/CCN1/CCN3/CCR4/CCR5/CD74/CMTM2/CTSG/CXCL1/CXCL10/CXCL12/CXCL16/CXCL5/CXCL6/CXCL8/DEFA4/DEFB1/DNM1L/EDNRB/EFNA5/EGR3/EPHA7/EPHB1/F3/FGF10/FLRT2/FLT1/FPR1/FPR2/HGF/HRAS/IL16/IL17RA/IL17RC/ITGA1/ITGB2/KIT/L1CAM/LEF1/LPAR1/LSP1/LTB4R2/MET/MSTN/NRG3/NRP1/PARVA/PDGFD/PIP5K1A/PLAUR/PLEC/PLEKHG5/POU4F2/PTK2/PTPRO/RIPOR2/RNASE3/S100A12/S100A8/S100A9/SEMA5B/SLAMF8/TBR1/THBS1/TNFRSF11A/TREM1/UNC5C/VEGFC/WNT3A,80,1.68776371308017
BP,GO:0050900,leukocyte migration,60/1175,404/18986,0.148514851485149,2.39974720876343,7.3042250717602,2.31303130008176e-10,1.63232925216535e-07,1.44052595005995e-07,ADORA1/ANO6/ARTN/C3AR1/C5AR1/CCL13/CCL2/CCL20/CCL23/CCL24/CCL5/CCN3/CCR5/CD200R1/CD74/CD9/CD99/CHST2/CHST4/CTSG/CXCL1/CXCL10/CXCL12/CXCL16/CXCL5/CXCL6/CXCL8/DEFA4/DNM1L/EDNRB/FLT1/FPR2/GDF15/IL16/IL17RA/IL17RC/ITGA1/ITGB2/ITGB7/KIT/KITLG/MADCAM1/MCOLN2/MSTN/NLRP12/PDGFD/PLEC/PTGER4/PTK2/PTPRO/RIPOR2/S100A12/S100A8/S100A9/SLAMF8/THBS1/TNFRSF11A/TNFRSF14/TREM1/VEGFC,60,1.48514851485149
BP,GO:0006816,calcium ion transport,60/1175,445/18986,0.134831460674157,2.17864690413579,6.46215291468825,1.00756071601906e-08,5.88751311727136e-06,5.19571368061757e-06,ANO6/ATP2B3/CACNA1A/CACNA1B/CACNA1E/CACNA1H/CACNA2D1/CACNG5/CALCRL/CALHM1/CAMK2D/CASK/CAV1/CCL2/CCL5/CCR5/CHRNA10/CNGA1/CXCL10/CXCL12/DNM1L/EDNRB/EFHB/F2R/GEM/GP9/GPR35/GRM6/HES1/HRC/IL16/ITPR2/JPH2/LILRB2/MCHR1/MCOLN2/MCOLN3/MCUB/OPRM1/P2RX5/PANX3/PKD1L1/PKD1L3/PKD2L1/PLCB4/PLCH1/PRNP/PTGS2/RAMP3/RYR1/SEMG1/SLC8A1/TMEM38A/TRPC1/TRPC6/TRPC7/TRPM5/TRPV3/WNT3A/ZMPSTE24,60,1.34831460674157
BP,GO:0007409,axonogenesis,59/1175,459/18986,0.128540305010893,2.07699253696751,5.99924458375662,7.53295506641731e-08,2.66410985983485e-05,2.35106941924357e-05,ACTBL2/AMIGO1/ANK3/APBB1/ARK2C/ARTN/ARX/BCL11B/CDKL5/CELSR3/CHODL/CNTN1/CNTN4/CNTN5/CXCL12/EFNA5/EGR2/ENAH/EPHA7/EPHB1/FEZ1/FGF13/FLRT2/FOXD1/ISL1/KIAA1755/KIF5C/L1CAM/LAMB2/LHX3/LRP4/LRRC4C/MAP6/MCF2/MT3/NELL2/NEO1/NGFR/NOG/NPTX1/NR4A2/NRP1/NTNG1/NTNG2/NTRK2/OR10A4/PLPPR4/PLXND1/POU4F1/POU4F2/PTK2/PTK7/PTPRO/SEMA5B/SZT2/TBR1/TUBB3/UNC5C/WNT3A,59,1.28540305010893
BP,GO:0060326,cell chemotaxis,57/1175,328/18986,0.173780487804878,2.80799688635184,8.48363817953704,1.10380546924355e-12,1.16098259255036e-09,1.0245638555568e-09,ACKR3/ANO6/C3AR1/C5AR1/CCL13/CCL2/CCL20/CCL23/CCL24/CCL5/CCN3/CCR4/CCR5/CD74/CTSG/CXCL1/CXCL10/CXCL12/CXCL16/CXCL5/CXCL6/CXCL8/DEFA4/DNM1L/EDNRB/EGR3/EPHB1/FLT1/FPR2/HGF/IL16/IL17RA/IL17RC/ITGA1/ITGB2/KIT/LEF1/LPAR1/MET/MSTN/NRP1/PARVA/PDGFD/PIP5K1A/PLEC/PLEKHG5/PTK2/PTPRO/RIPOR2/S100A12/S100A8/S100A9/SLAMF8/THBS1/TNFRSF11A/TREM1/VEGFC,57,1.73780487804878
BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,55/1175,280/18986,0.196428571428571,3.17395136778115,9.4127919015593,1.4683297011039e-14,1.93048647452635e-11,1.70364885583345e-11,ADGRL3/AMIGO1/AMIGO2/CADM2/CD6/CDH22/CDHR1/CEACAM6/CELSR2/CELSR3/CNTN4/DSC3/DSG2/EFNA5/ITGAM/ITGB2/L1CAM/LRRC4C/NTNG1/NTNG2/PCDH11X/PCDH9/PCDHB10/PCDHB11/PCDHB12/PCDHB13/PCDHB14/PCDHB15/PCDHB16/PCDHB5/PCDHB6/PCDHB7/PCDHB8/PCDHB9/PCDHGA1/PCDHGA10/PCDHGA11/PCDHGA12/PCDHGA2/PCDHGA3/PCDHGA4/PCDHGA5/PCDHGA6/PCDHGA7/PCDHGA8/PCDHGA9/PCDHGB1/PCDHGB2/PCDHGB3/PCDHGB4/PCDHGB5/PCDHGB6/PCDHGB7/PTK7/SDK2,55,1.96428571428571
BP,GO:0045785,positive regulation of cell adhesion,54/1175,499/18986,0.108216432865731,1.74859335692662,4.35254332998372,4.50751902608571e-05,0.00464804756042838,0.00410188883096221,ADAM19/ALOX15/ANK3/ARID2/CARD11/CAV1/CCL2/CCL5/CCN1/CD36/CD6/CD74/CD86/CEACAM6/CHST2/CHST4/COL26A1/CR1/CTSG/CXCL12/EGR3/FBLN2/FERMT1/FUT1/FUT3/HACD1/HES1/HHLA2/HLA-DQB1/HLA-DRB1/HLA-DRB5/IL15/IL23R/IL7R/ITGB2/KITLG/LAMB2/LEF1/LILRB2/MAP3K8/MEGF10/MIR30B/NODAL/NRP1/PLAUR/RASAL3/S100A10/SKAP1/SPOCK2/TNFRSF14/VIT/VNN1/WNT3A/ZBTB16,54,1.08216432865731
BP,GO:0030900,forebrain development,53/1175,416/18986,0.127403846153846,2.05862929623568,5.60744088753796,4.58185672960055e-07,0.000133866580783163,0.000118136879069057,ALDH1A3/ARX/AXL/BCL11B/BMERB1/BMP4/CCDC141/CXCL12/DLX2/EGFR/ELAVL4/ERBB4/FEZ1/FGF10/FGF13/FUT1/GSC/HES1/IGF2BP1/ISL1/ITGAM/KCNA2/KCNA3/KIF26A/KRAS/LEF1/LHX3/LPAR1/MSX1/NDST1/NEUROG3/NOG/NR4A2/NRG3/NRP1/NTRK2/OLIG2/PAX5/PCDH9/POU1F1/POU4F1/PRDM13/RAX/RFX4/SLC38A2/SOX1/SOX3/SYNE2/SZT2/TAL2/TBR1/UNCX/WNT3A,53,1.27403846153846
BP,GO:0042391,regulation of membrane potential,52/1175,466/18986,0.111587982832618,1.80307186558305,4.50823930120368,2.74695727684305e-05,0.00343289077825516,0.00302951640622632,ABCC9/ACTN2/ADORA1/ANK3/CACNA1H/CACNA2D1/CAMK2D/CAV1/CD36/CHRNA10/CHRNA6/CTNNA3/CUX2/DSG2/FGF13/GABRA1/GABRA4/GABRB1/GABRD/GABRE/GLRA1/GPR35/GRIK2/GRM1/KCNA2/KCNA3/KCNC4/KCND2/KCND3/KCNH6/KCNJ3/KCNK1/KCNMB4/KCNQ3/KCNS3/KCTD16/MAPK8IP2/MET/MIR30B/NPFF/NTRK2/P2RX5/RIMS1/RIMS3/SLC25A27/SLC4A3/SLC4A4/SLC4A8/SLC8A1/STX1A/SYNE1/ZMPSTE24,52,1.11587982832618
