"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SNCA",0,3.62255986584486,0.991,0.181,0,"0","SNCA"
"ALAS2",0,4.224002204599,0.999,0.19,0,"0","ALAS2"
"HBD",0,3.51820653017183,0.953,0.149,0,"0","HBD"
"TRIM58",0,3.43665634772209,0.929,0.132,0,"0","TRIM58"
"SELENBP1",0,4.3374864558047,0.88,0.092,0,"0","SELENBP1"
"CA1",0,3.89630816308855,0.929,0.148,0,"0","CA1"
"AHSP",0,3.52700663811986,0.877,0.108,0,"0","AHSP"
"DCAF12",0,3.67472041589224,0.909,0.17,0,"0","DCAF12"
"SLC25A39",0,3.84177445701777,0.997,0.26,0,"0","SLC25A39"
"SLC4A1",0,3.25103910638428,0.795,0.094,0,"0","SLC4A1"
"FAM210B",0,3.39020773431103,0.879,0.192,0,"0","FAM210B"
"GMPR",0,3.38191798385125,0.794,0.108,0,"0","GMPR"
"STRADB",0,3.59764855639698,0.808,0.142,0,"0","STRADB"
"GLRX5",0,3.46676655326544,0.957,0.291,0,"0","GLRX5"
"TENT5C",0,3.1865937834891,0.867,0.202,0,"0","TENT5C"
"BCL2L1",0,3.20880943706894,0.868,0.206,0,"0","BCL2L1"
"YBX3",0,2.95109735935807,0.975,0.318,0,"0","YBX3"
"BPGM",0,3.34083396757716,0.786,0.147,0,"0","BPGM"
"IFI27",0,4.25551796482862,0.719,0.091,0,"0","IFI27"
"MPP1",0,2.37991663838874,0.884,0.262,0,"0","MPP1"
"ADIPOR1",0,2.66339375591584,0.965,0.354,0,"0","ADIPOR1"
"BLVRB",0,2.74757439402718,0.891,0.285,0,"0","BLVRB"
"HBM",0,3.35364376971011,0.68,0.084,0,"0","HBM"
"NCOA4",0,2.07496168681797,0.954,0.406,0,"0","NCOA4"
"BSG",0,2.75329169206246,0.927,0.382,0,"0","BSG"
"BNIP3L",0,2.42669962501378,0.974,0.439,0,"0","BNIP3L"
"ENSG00000280441",0,0.698087804512643,0.997,0.463,0,"0","ENSG00000280441"
"FBXO7",0,2.67730281214347,0.852,0.321,0,"0","FBXO7"
"RBM38",0,2.56647832435576,0.83,0.32,0,"0","RBM38"
"FECH",0,3.496902416898,0.596,0.089,0,"0","FECH"
"PRDX2",0,2.72694622300276,0.838,0.339,0,"0","PRDX2"
"GYPC",0,2.79323394693909,0.983,0.487,0,"0","GYPC"
"NUDT4",0,2.80411816121512,0.677,0.191,0,"0","NUDT4"
"OSBP2",0,3.41422567462444,0.548,0.069,0,"0","OSBP2"
"CDC34",0,2.68140208502945,0.643,0.165,0,"0","CDC34"
