Power	SFT.R.sq	slope	truncated.R.sq	mean.k.	median.k.	max.k.
1	0.792268856366132	-1.47322761558221	0.941840189381889	700.685481054597	601.637660719229	1857.95823154816
2	0.864512601801823	-1.51540325675268	0.938809260732465	139.062132863133	79.5255547152373	763.495821261441
3	0.860442023648556	-1.53126016768694	0.943136300826108	42.9798548971438	14.0656111715158	396.473519754172
4	0.873651762942029	-1.51015494978746	0.959938958878823	17.2364850944552	2.954801409876	232.551708673042
5	0.859570307253691	-1.52423178761617	0.954664144568835	8.12749427993643	0.692976852502329	146.971575503774
6	0.848582731274051	-1.53140521840032	0.952451673599597	4.27616640920004	0.175197293402056	97.7410182408482
7	0.85856314172822	-1.53378185999595	0.9679289944415	2.43755690361059	0.046176144565002	67.4777045072165
8	0.869134785841353	-1.50069888159236	0.980905220314006	1.4786320409169	0.0128687063159239	47.944988828111
9	0.870718632927963	-1.47982574124546	0.979657087408648	0.943285471551351	0.00368146389260748	34.855282328155
10	0.875020719555024	-1.43617054387784	0.976374056834133	0.62764276888667	0.00111112486102827	25.8164834349454
12	0.937916441375591	-1.29313587913652	0.980722776496352	0.308126811869014	0.000115791126071629	14.8014682787327
14	0.937625400656073	-1.31394536606426	0.976969140426979	0.169020528719712	1.23898233872488e-05	10.8965080203731
16	0.954951765699234	-1.30908050857335	0.983758285718341	0.101236665197545	1.40077372190461e-06	8.81096559857188
18	0.970584965583631	-1.3059596138477	0.987647439483413	0.065091413399349	1.55875087060053e-07	7.21817414241268
20	0.985161290355873	-1.28255085640821	0.993145651795813	0.0443270274745293	1.89220625834707e-08	5.97655917489378
22	0.991369991367693	-1.24907423013463	0.994172401371031	0.0316265071754618	2.3959247918981e-09	4.992664059008
24	0.991369203471835	-1.22534293051176	0.991230037362277	0.0234330314501322	2.97839974905401e-10	4.2022906569564
26	0.991554634597992	-1.19271860984928	0.989637893055508	0.0179016423315603	3.67263996992051e-11	3.55998366953909
28	0.982269800173326	-1.16404242099179	0.977319048194434	0.0140202686042045	4.87387907810444e-12	3.03277226851077
30	0.980637416175697	-1.13365038205571	0.975150251452585	0.0112058164511793	6.16839912481737e-13	2.61314340001493
