"gene_name","module","kME"
"ARHGAP15","Neutrophil-M1",0.74973877431376
"ZDHHC20","Neutrophil-M1",0.729634746924935
"PCNX1","Neutrophil-M1",0.719738090889699
"MAPK14","Neutrophil-M1",0.715001801891218
"MCTP2","Neutrophil-M1",0.712707623731434
"WDFY3","Neutrophil-M1",0.705693525269594
"KLHL2","Neutrophil-M1",0.6991540710962
"MEF2A","Neutrophil-M1",0.696539004047547
"AGTPBP1","Neutrophil-M1",0.680782265994322
"COP1","Neutrophil-M1",0.679465613303931
"ATP11B","Neutrophil-M1",0.677412269082033
"CD177","Neutrophil-M1",0.672880494715786
"CR1","Neutrophil-M1",0.667835743771177
"DPYD","Neutrophil-M1",0.667310430614116
"SYNE1","Neutrophil-M1",0.66679475993976
"NIBAN1","Neutrophil-M1",0.661255375323082
"PLAC8","Neutrophil-M1",0.659349953025641
"ST6GALNAC3","Neutrophil-M1",0.658743726772152
"KIF1B","Neutrophil-M1",0.657821281015846
"DYSF","Neutrophil-M1",0.657488567451545
"TDRD9","Neutrophil-M1",0.652185102317291
"SLC8A1","Neutrophil-M1",0.649225119090705
"MFSD14B","Neutrophil-M1",0.647430199737755
"MACF1","Neutrophil-M1",0.646896770704969
"AGFG1","Neutrophil-M1",0.627872447921888
"ENSG00000253980","Neutrophil-M2",0.582232139464101
"BCL11B","Neutrophil-M2",0.58205539011946
"INPP4B","Neutrophil-M2",0.568722709392402
"SKAP1","Neutrophil-M2",0.567459618829728
"BACH2","Neutrophil-M2",0.552822769935254
"KLF12","Neutrophil-M2",0.544651382870561
"CAMK4","Neutrophil-M2",0.536262697772246
"IL7R","Neutrophil-M2",0.528285368672395
"DOCK10","Neutrophil-M2",0.516834586313321
"RPS4X","Neutrophil-M2",0.513846191363209
"GIMAP7","Neutrophil-M2",0.511556763858906
"CD3G","Neutrophil-M2",0.50582146810625
"BCL2","Neutrophil-M2",0.501010190195465
"RPL5","Neutrophil-M2",0.498582467254237
"RPL22","Neutrophil-M2",0.496144492694186
"RCAN3","Neutrophil-M2",0.49153926580771
"PRKCQ-AS1","Neutrophil-M2",0.486008826144411
"CD3D","Neutrophil-M2",0.479750212026403
"RPL10A","Neutrophil-M2",0.476956524332768
"RORA-AS1","Neutrophil-M2",0.476538336067126
"RPS18","Neutrophil-M2",0.476093678427758
"RPL36A","Neutrophil-M2",0.475879267411108
"LDHB","Neutrophil-M2",0.459724585811356
"TRAC","Neutrophil-M2",0.459426858429205
"TXK","Neutrophil-M2",0.457945009855911
"NRGN","Neutrophil-M3",0.818832363432434
"PF4","Neutrophil-M3",0.814883871651803
"CLU","Neutrophil-M3",0.805181656143878
"PRKAR2B","Neutrophil-M3",0.803101751626075
"PPBP","Neutrophil-M3",0.785268724480589
"CCL5","Neutrophil-M3",0.779887933586393
"F13A1","Neutrophil-M3",0.774921842442625
"RGS10","Neutrophil-M3",0.773085070776466
"ODC1","Neutrophil-M3",0.762306146622178
"GRAP2","Neutrophil-M3",0.753447817184419
"NAP1L1","Neutrophil-M3",0.748954673846066
"PDLIM1","Neutrophil-M3",0.748298145441466
"PGRMC1","Neutrophil-M3",0.747665567911544
"MMD","Neutrophil-M3",0.725582420064866
"C2orf88","Neutrophil-M3",0.709448198218634
"GPX1","Neutrophil-M3",0.698027088939294
"CD99","Neutrophil-M3",0.695448391907962
"TSC22D1","Neutrophil-M3",0.693324138491293
"PLA2G12A","Neutrophil-M3",0.686032728039799
"MAP3K7CL","Neutrophil-M3",0.666660822531132
"PARVB","Neutrophil-M3",0.652035638398891
"MTURN","Neutrophil-M3",0.635908065706832
"ITGB1","Neutrophil-M3",0.631700998524218
"PPDPF","Neutrophil-M3",0.625439591425628
"TPM1","Neutrophil-M3",0.608663515126584
"H3-3A","Neutrophil-M4",0.876180011593472
"H3-3B","Neutrophil-M4",0.858562523544471
"RIPOR2","Neutrophil-M4",0.752203376784212
"CYRIB","Neutrophil-M4",0.739977298253476
"GABARAP","Neutrophil-M4",0.732084504995882
"ATP5F1E","Neutrophil-M4",0.722099145840789
"FYB1","Neutrophil-M4",0.713323973142582
"IFITM1","Neutrophil-M4",0.709357705623499
"RNASEK","Neutrophil-M4",0.643491198928663
"GNG10","Neutrophil-M4",0.626958921623124
"VSIR","Neutrophil-M4",0.614435099965792
"TSPO","Neutrophil-M4",0.606226489583503
"PELATON","Neutrophil-M4",0.545606413226659
"RESF1","Neutrophil-M4",0.524886212445568
"JPT1","Neutrophil-M4",0.518042200054461
"H2AC6","Neutrophil-M4",0.500466547911809
"TALAM1","Neutrophil-M4",0.499055297800632
"IL1R2","Neutrophil-M4",0.498810618134293
"ELOB","Neutrophil-M4",0.498236112043706
"IFI30","Neutrophil-M4",0.494853169065061
"RAB5IF","Neutrophil-M4",0.492757517662288
"CKLF","Neutrophil-M4",0.489426162471067
"ATP6V0C","Neutrophil-M4",0.487863896073589
"FCER1G","Neutrophil-M4",0.477848348041129
"HCK","Neutrophil-M4",0.47332647519843
"DUSP1","Neutrophil-M5",0.588604180110178
"HLA-C","Neutrophil-M5",0.579595251013585
"ZFP36","Neutrophil-M5",0.539842499787887
"JUNB","Neutrophil-M5",0.505929213179827
"FTH1","Neutrophil-M5",0.503549807354671
"HLA-B","Neutrophil-M5",0.493511173629277
"B2M","Neutrophil-M5",0.487655070300001
"FTL","Neutrophil-M5",0.483162851625422
"PNRC1","Neutrophil-M5",0.46776867223467
"G0S2","Neutrophil-M5",0.455950840817622
"ITM2B","Neutrophil-M5",0.434424547479356
"IER2","Neutrophil-M5",0.417721558607379
"NFKBIA","Neutrophil-M5",0.410026915134578
"FOS","Neutrophil-M5",0.395415808082156
"HLA-A","Neutrophil-M5",0.37043276558982
"SOD2","Neutrophil-M5",0.363675554341058
"SAT1","Neutrophil-M5",0.351092564790007
"YPEL3","Neutrophil-M5",0.344650520951681
"NINJ1","Neutrophil-M5",0.325708337432008
"HLA-E","Neutrophil-M5",0.325155165154893
"IRF1","Neutrophil-M5",0.32144413292717
"BCL3","Neutrophil-M5",0.31039399308305
"RNASET2","Neutrophil-M5",0.305157822752603
"BTG2","Neutrophil-M5",0.304725081106864
"PILRA","Neutrophil-M5",0.29108296210638
"ALAS2","Neutrophil-M6",0.72259137318716
"SLC25A39","Neutrophil-M6",0.71273983030104
"HBD","Neutrophil-M6",0.675328242738955
