"gene_name","module","color","kME_grey","kME_Neutrophil-M1","kME_Neutrophil-M2","kME_Neutrophil-M3","kME_Neutrophil-M4","kME_Neutrophil-M5","kME_Neutrophil-M6","kME_Neutrophil-M7","kME_Neutrophil-M8","kME_Neutrophil-M9"
"PRKCZ","Neutrophil-M1","turquoise",0.1392709770162,0.200555449693796,0.0252143491911134,-0.00270976724325778,0.188498051980092,0.00726937013670109,-0.0281750823629343,0.149697286967392,0.0992132629940991,0.0272988325161894
"KCNAB2","Neutrophil-M1","turquoise",0.191115052898929,0.255380569469817,0.0984114558426975,0.0233702147951997,0.150373935539463,-0.0692704177937483,-0.0187173811162889,0.18029345773755,0.0960437921457983,-0.0032121913120651
"RPL22","Neutrophil-M2","blue",0.33630796839216,0.260442069931912,0.496144492694186,0.0974655960042483,0.0864623292233138,-0.157644080046161,0.0471449190979982,0.13497027838332,0.0565718618792373,-0.0912009417694074
"TNFRSF25","Neutrophil-M2","blue",0.107104291969432,0.0412095252082272,0.237542296990623,0.0294243968942745,-0.00208236171679527,-0.0424518475102751,0.0101923053136831,0.00243597237733478,-0.000919706727427107,-0.0382675896448285
"NOL9","Neutrophil-M2","blue",0.098414665991989,0.043862163210847,0.189490190541345,0.0264656419879299,0.0074665010685429,-0.0310416835187078,0.00794069086639802,0.0148240288322275,0.00859830878087925,-0.0382432415442469
"DNAJC11","Neutrophil-M2","blue",0.0995085845553023,0.0642521371242618,0.156037139580446,0.0224773124332434,0.0181392812119777,-0.0398455619048741,0.00566129545642096,0.0238477171761016,0.00632119125793079,-0.0195045531393903
"CAMTA1","Neutrophil-M3","brown",0.0870608350476207,0.0658384219380213,0.0949498398881567,0.257935471676707,0.00761851131721205,-0.108631320348918,0.0426716640635147,-0.00529871522908094,-0.0210481646186601,-0.137362663802906
"PARK7","Neutrophil-M3","brown",0.0994228528659564,0.10014617745081,0.111799583973416,0.358309131061188,0.0537188993700737,-0.147317685635673,0.0512262070348903,-0.0244049930257215,-0.0565341658112006,-0.13127754019733
"ENO1","Neutrophil-M1","turquoise",0.238521491241169,0.311930272552067,0.158063570889484,0.152318421848721,0.154484317617933,-0.14819138989778,0.00659155045818002,0.170718812783942,0.056921900352937,-0.0587881913325001
"PIK3CD","Neutrophil-M1","turquoise",0.29299515896411,0.404426433876268,0.114326698813925,-0.0011590305620846,0.293052659387524,-0.043259912601357,-0.0550181665605374,0.313604352980025,0.181904590561898,0.0306622609100176
"CLSTN1","Neutrophil-M2","blue",0.127607509857058,0.0821597834649607,0.194079694288799,0.0313055371344554,0.0371876079255163,-0.0242516698194215,0.00561580861356564,0.0459142916937713,0.0280674309555669,-0.0161568842585906
"CTNNBIP1","Neutrophil-M3","brown",0.0613102914060833,0.0677784179949476,0.0524667956191137,0.121657814839839,0.0350422016888985,-0.0522323486076305,0.0100089838387532,0.00696773544296969,-0.00355610120572883,-0.0387441345551621
"UBE4B","Neutrophil-M1","turquoise",0.250114080522454,0.337187104866171,0.116834685536442,0.0278742038763358,0.223730652447117,-0.0744283083035464,-0.0238550053055563,0.242469031362772,0.130901446709779,-0.0087870470361037
"KIF1B","Neutrophil-M1","turquoise",0.444533636067886,0.657821281015846,0.228821910288965,0.0623642123694348,0.32615784969945,-0.237362345636926,-0.0287122261588923,0.474031148946166,0.19470403562055,-0.0555992908097207
"PGD","Neutrophil-M1","turquoise",0.290233214411126,0.450477821373032,0.0962690874396893,0.0423607933447313,0.36227737008137,-0.0748652726622197,-0.0661258252209218,0.279499939819213,0.127599736284956,0.0875000581544015
"TARDBP","Neutrophil-M1","turquoise",0.136439999769844,0.145811302841959,0.09939870121289,0.0238820816830185,0.101273927437521,-0.0217404298472014,-0.009414188162098,0.104401100812697,0.0586992982335777,5.50556791017328e-05
"AGTRAP","Neutrophil-M4","yellow",0.146946533623232,0.207047275985308,0.00833700189209339,-0.0139366904981526,0.31203654563786,0.0875915740784364,-0.0821915746191096,0.115434259367624,0.100685405409055,0.142316151324649
"TNFRSF1B","Neutrophil-M5","red",0.0302129905140075,-0.0721507278189634,-0.0352061438859741,-0.0997800676787674,-0.0445006240273091,0.209613338991466,-0.0527342781888168,0.0727901326367133,0.148663677295966,0.0968380275552656
"VPS13D","Neutrophil-M1","turquoise",0.203686123750011,0.256860570465823,0.120798923193531,0.0269460796111171,0.165765981630685,-0.0519604781176591,-0.0166792423153127,0.181565597749282,0.0966747007562568,-0.0197145823621627
"EFHD2","Neutrophil-M5","red",0.114812070802311,0.0836951818288597,-0.00987731227079076,-0.118801412393965,0.145288263699974,0.213762377970207,-0.106455715448382,0.127757471627462,0.157528810510727,0.175959016736004
"DNAJC16","Neutrophil-M1","turquoise",0.102995947712455,0.133831881678284,0.0659609963228245,0.0294095579014918,0.067457627771679,-0.0484221236823518,-0.00152761291809635,0.0895784507027716,0.0372946343251061,-0.0158024675140492
"PLEKHM2","Neutrophil-M1","turquoise",0.156620429376693,0.194191541200195,0.0519057240815153,0.00334801489466578,0.181242496669017,0.016467991917719,-0.0344976138722522,0.149317499236367,0.101553258594349,0.0217452676515826
"PADI4","Neutrophil-M1","turquoise",0.198389782150655,0.326689211704611,0.0538135720463788,0.0393092125284816,0.306101190502047,-0.0692160201284978,-0.0683618128517989,0.152310660731494,0.0581141436673068,0.0904424603208527
"RCC2","Neutrophil-M3","brown",0.0172061401660397,0.00554761612012541,0.0580293416284757,0.088457984293096,-0.0166708355924887,-0.0437590935259328,0.0221509130873887,-0.0208125618161822,-0.0122966938362154,-0.0446210546251862
"MRTO4","Neutrophil-M2","blue",0.0785043836795331,0.0317063487169242,0.162786792611307,0.0168583843413948,0.0210705122689824,-0.0169389146598136,0.00981695481395086,0.00581633403767293,0.0103172031915169,-0.0134851668411025
"AKR7A2","Neutrophil-M3","brown",0.0487150988589583,0.0237536698332997,0.117817278626932,0.174840792435577,0.00320327589204059,-0.0769957544950543,0.0368667848492219,-0.0289648921267382,-0.0434883096435241,-0.0879368166762972
"TMCO4","Neutrophil-M2","blue",0.167773017525442,0.108119646537834,0.245355157827421,0.0441240404747757,0.0372308280159672,-0.0599186519740768,0.0126028354296941,0.0451859544735306,0.0248454136954754,-0.0293701304627339
